# 人が書いた訳の上書き
#
# 生成と作り直しを繰り返しても決まりに合う訳が出なかった語義を、人が書いて差し替える。
# ここに載る語義は `qa` が `hand_fixed` になる。
#
# 列は「見出し語（簡体字）」「読み（声調記号つき）」「語義の番号」「日本語訳」「理由」。
# 区切りはタブ。`#` で始まる行と空行は読み飛ばす。
#
# **載せるのは最後の手段とする。** まず `--repair` を回し、それでも直らないものだけを書く。
# 組み立てのときに当たる語義が無ければ中止する（古い行を黙って残さないため）。
#
# 見出し語	読み	語義	日本語訳	理由
谱氏	pǔ shì	2	家系の記録	作り直しを3巡しても英語の `family` が残った
卖卜	mài bǔ	1	占いを生業とする	作り直しを3巡しても英語の `business` が残った
